Platform,Publisher,Title,Series,Rating,Genre,Release Date,Developers,Players,Barcode,Item ID, Collection/Wishlist
xbox,Electronic Arts/EA Games,007: Nightfire,,13+,"Action, First Person Shooter",2002-11-01,Eurocom,1-4,014633145946,1330931,Collection
ps2,Electronic Arts,007: Nightfire,007,T,"Action, First Person Shooter",2002-11-18,Electronic Arts,1-2,014633145922,1333669,Collection
gameboy,Interplay Productions,4-in-1 Fun Pak,4-in-1 Fun Pak,Not Rated,"Board, Compilation",1992-01-01,Interplay Productions,1-2,nocode20110526031246723,1126741,Collection
ps2,Sony Computer Entertainment,ATV Offroad Fury 4,ATV Offroad Fury,E,Racing,2006-10-31,Climax Racing,1-4,711719747925,1197834,Collection
ps2,Sony Computer Entertainment,ATV Offroad Fury,ATV Offroad Fury,E,Racing,2001-02-05,Rainbow Studios,2,711719710424,1192249,Collection
ps2,Sony Computer Entertainment,ATV Offroad Fury 2,ATV Offroad Fury,E,"Fantasy, Role Playing Game",2002-11-09,Rainbow Studios,2,1171973692,941079,Collection
ps2,Sony Computer Entertainment,ATV Offroad Fury 3,ATV Offroad Fury,E,Racing,2004-11-02,Climax Racing,1-4,5060112740008,930455,Collection
ps1,Acclaim Entertainment,ATV Quad Power Racing,ATV Quad Power Racing,E,Racing,2000-08-23,Climax Brighton,1-2,021481212003,1295356,Collection
ps2,Namco,Ace Combat 04: Shattered Skies,Ace Combat,E,Combat Flight Simulator,2001-11-01,Namco,1-2,4907892015685,1543673,Collection
xbox360,Namco Bandai Games,Ace Combat 6: Fires of Liberation,Ace Combat,T,"Action, Flight Simulator",2007-10-23,Namco Bandai Games,"1, 2-16",722674210102,939331,Collection
Sony PlayStation 4 (PS4),Bandai Namco Entertainment,Ace Combat 7: Skies Unknown,Ace Combat,T,Flight Simulator,2019-01-18,Project Aces,1-8,nocode20190117133445908,1847040,Collection
ps1,Take-Two Interactive,Action Bass,Action Bass,E,Sports,2000-07-27,Vingt-et-un Systems,1-2,nocode20120629112455900,993358,Collection
ps1,Take-Two Interactive,Action Bass,Action Bass,E,Sports,2000-07-27,Vingt-et-un Systems,1-2,710425230509,1413259,Collection
ps1,Namco,Air Combat,Ace Combat,E,Combat Flight Simulator,1995-09-09,Namco,1,722674020503,1566575,Collection
genesis,Sega,Altered Beast,Altered Beast,Not Rated,"Action, Beat ’em up, Fantasy",1989-08-14,Sega,1-2,0010086011005,932565,Collection
ps2,Activision,American Chopper 2: Full Throttle,American Chopper,T,Racing,2005-11-08,Creat Studios,1-2,5060034554660,1385816,Collection
Sony PlayStation 4 (PS4),Maximum Games,Among Us: Ejected Edition,Among Us,E10+,"Party, Social Deduction",2021-12-14,"Innersloth, Dual Wield Studio",4-15,814290017415,1850283,Collection
Sony PlayStation 5 (PS5),Ubisoft,Anno Standard Edition Playstation 5,Anno,T,"Simulation, Strategy",2023-03-16,Ubisoft Mainz,1,887256114640,1943122,Collection
ps1,Midway Home Entertainment,Arcade's Greatest Hits: The Atari Collection 2,Arcade's Greatest Hits,E,Compilation,1998-04-05,Digital Eclipse,1-2,031719269723,1218690,Collection
xbox,Midway,Area-51,,M,First Person Shooter,2005-05-27,Midway,4,031719300150,929965,Collection
xbox,GS Global Star Software,Army Men: Sarge’s War,,T,"Action, Third Person Shooter",2004-07-23,Global Star Software,4,710425294327,1202456,Collection
ps3,Electronic Arts,Army of Two,Army of Two,M,"Action, Third Person Shooter",2008-03-04,EA Montreal,1-2,014633154405,1199956,Collection
ps3,Electronic Arts,Army of Two: The 40th Day,Army of Two,M,Third Person Shooter,2010-01-12,EA Montreal,1-2,014633157147,1574130,Collection
ps3,Electronic Arts,Army of Two: The Devil’s Cartel,Army of Two,M,"Action, Third Person Shooter",2013-03-26,Visceral Games Montreal,1-2,014633197204,1345777,Collection
ps3,Ubisoft,Assassin’s Creed II,Assassin’s Creed,M,"Action, Adventure, Sandbox",2009-11-17,Ubisoft Montreal,1,307211666474,901064,Collection
